ID,Name,Country,Type_of_Content,Average_Views,Revenue,Primary_Game
awl2hhcynksfs8cej2kyigcz6gotvs3g,Megan Perry,United States,LiveStreamer,28968,11.24,Primordials: Battle of Gods
vfo0guxl2f70jvr3v6n2xvy3o3lj0n6q,Robert Nelson,Australia,LiveStreamer,837509,409.93,Cozy Grove
nbif9yrodt2dtoohuainrjohtrfozlaf,Watanabe Yuki,Japan,Blogger,183202,17.21,The Jackbox Party Pack 5
qrua6f2np66buwnbb20g42e9j5n2kevz,Silja Hesse-Fiebig,Germany,Long Form,17072,4.5,Antstream Arcade
87g32i8uvxg0ruhmbkufcrjo51wl8tpq,Anka Graf B.A.,Germany,Short Form,46871,7.11,Axiom Verge 2
pp82y84qha88riwwagcmllbsjtaaw01c,Steven Butler,United States,LiveStreamer,492504,126.11,Everhood
ye5a2jq44px9i1daw20ha201ii5sj6sy,Henriette Le Breton,France,LiveStreamer,229099,62.68,Gravewood High
6g1lwt7rmppc3hpy92idf5c5au9qzhjs,Sean White,United States,LiveStreamer,3585,2.04,Neon Abyss
ol4j0wkn35sdhyx9fncsjrvc9zroulo3,Marcelo Pina Garzón,Spain,Short Form,29805,3.0,Suzerain
rhpnfyj0ecjmz36tsdvwj8b01lpo3zcb,Dayamai Khalsa,India,Blogger,13073,1.46,Sands of Aura
z5ifdv1mj6wyj4oq5q0ln2r0nzspa2rz,Patricia Mendoza,United States,Short Form,850389,150.87,The Talos Principle
o9ow1fw9eh3bf5qgizqmuh3sj38epzi2,Cecilia Hansson,Sweden,Blogger,198014,35.09,Valiant Hearts: The Great War
at7g79bqe6y2xkukuza68gtnt5va0o37,Dennis Jones,United States,Short Form,287541,90.04,Rising Storm 2: Vietnam
o5t9dhxj9s0u9d8x92mfje50qyrzlz72,Varenya Murthy,India,Long Form,514682,84.16,Tales from the Borderlands
0sm64nkeu7y1wjzrifgiwqrs0mjzmvoi,Guiomar Posada Salamanca,Spain,Short Form,832787,62.45,Untitled Goose Game
cm9cv3ooofdc2977c1oekbhtmq9dlxdz,Maryse Guillot du Boutin,France,Short Form,25394,4.56,Neon City Riders: Super-powered Edition
voiw4y6uhovz1b9gww582z95s8kn67yb,Suzanne Evans,United Kingdom,LiveStreamer,9615241,3030.43,Suzerain
7lvafueacodyndp7gboql75bvnl7noqi,Dana Lynch,United States,Long Form,29567,11.96,Calico
ee5tsxmzruap1bpnx6w5u8wt17xvqvpg,Suzuki Yuki,Japan,Short Form,38948,10.25,ZOMBI
bdl3u1r3m8u5ji6noynkxtrl0jiy4333,Sr. Diogo da Luz,Brazil,LiveStreamer,126723,20.66,Vampyr
146nz9gs966hahci8uee2wq24qey2364,Takahashi Yuko,Japan,Long Form,45900,8.36,Anno 2205 - Standard Edition
nn6k2oz8gjbgkbz1obqlev7e5g42cpkf,Dra. Bruna Pereira,Brazil,Long Form,551427,183.23,INDUSTRIA
6ayfhl95b8mbx1uysbfozbrgljravpx0,Cassandra Gibson,United States,Short Form,220462,54.62,Watch Dogs: Legion Standard Edition
3tlm77414i865i6lv0eann8n0gxmj7lj,Valerie Porter,United States,Long Form,30449,5.24,The Surge
ystyjgcrmightk3pza7dd72redsz574n,Sharon Burgess,United States,Blogger,137581,27.78,Assassin's Creed Origins Standard Edition
hkscg8vnk8c9b566dd2ej7ohcuiuuvwf,Amy Dougherty,United States,Short Form,178437,18.46,RAYMAN® LEGENDS
maqj5rr0amqgmnyg7v2tvoo1uapiar88,Mr Mark Wells,United Kingdom,Blogger,7345,1.23,The Jackbox Party Pack 5
h350p3cyazbcgjc36oqoloeazc0b4msk,Brittney Campbell,Australia,LiveStreamer,969196,334.09,Iron Harvest
fn7f3wcm5a7gs0mgnxk0zuj069xu8so2,Laura Leblanc,United States,Short Form,107304,19.69,Tales from the Borderlands
6v445dwgn2ovojdswl9x7afji7td7be5,Anita Sundqvist,Sweden,Long Form,33019,6.33,Ranch Simulator
337qc1xxzjcp542rns35h1lskb2eo9v5,Patricio Pascual-Lago,Spain,Blogger,261117,20.25,Railway Empire
mtk1zhnao0uyqmqtic78hhu97yq61myr,Vrinda Dada,India,LiveStreamer,138427,42.94,Before We Leave
lkdxf2zrq94yq5pbrtiy39gwjwospd26,Alice De Sousa,France,Short Form,48334,5.39,Mayhem in Single Valley
n439enga01yzg3w3h98brzva9wdjsgg0,Jacob Obrien,United States,LiveStreamer,954828,168.91,Scarlet Hood and the Wicked Wood
072sekul71bx4eqnmsj7ypeacewdkkfy,Maria Bergström,Sweden,Long Form,7948974,1402.87,Genshin Impact
8df70p2lr52h20ua4rzabh3vecszfqp2,Jonathan Lloyd,Australia,LiveStreamer,17867,6.51,Grindstone
xfh5286ghznzev8729cij4anc8peem9j,Kim Adams,United States,Short Form,834988,224.22,Missile Command: Recharged
6mw5vwzkl8rjhjskje6ay2rsfy87pufk,Benjamin King,United Kingdom,Blogger,200506,32.37,Afterparty
lzb7160irqbcwdou4uz9jg2cnjhpeqb3,Kenneth Young,Australia,Short Form,891538,259.32,LEGO® Batman™ 2: DC Super Heroes
lv9k8osh7wy75c1l4skspqbjnqljqg5f,Rita Ferretti,Italy,Long Form,29276,6.68,RiME
r0mirno6p2hfdwzjuc5rus56ydycvsyr,Bianca Vargas,Brazil,Blogger,28457,4.18,Claire de Lune
s6zkse0aphw4jqz1ph40dpmxwobyezwg,Patricio Timoteo Miranda Angulo,Spain,LiveStreamer,226260,79.15,Steep Standard Edition
kkh3jmr01ej1x2fy96el8zg8gh38y7jo,Regina Price,United States,Short Form,893250,268.8,Squad Editor
yrvpv2uhb2v43uu234he9tkvwhp67bd7,Kristina Persson,Sweden,Long Form,511638,96.57,Path of Exile
uzqswrkpbr4nkjrf976nh3st9hv9fswq,Jamie van Schweinfurt,Netherlands,Short Form,90469,18.75,Darkest Dungeon II
0vfoxclsdwhluii05vfd87nxbeiky1vm,Katy Harris,United Kingdom,Short Form,29720,6.97,MONOPOLY® PLUS
aa9hf0yttu1lpbsv5608e1xp4e5of1j9,Kwon Jun-ho,South Korea,Short Form,7294,1.26,Defense Grid: The Awakening
dmc2rh2xk2pthowq1gaz5uh80q7tw1pu,Amy Russell,United States,Long Form,42075,11.12,Griftlands
1qftfdx0ug12iau1qg8kp1j790486os7,Jodie Wood,United Kingdom,Short Form,19277,4.72,Port Royale 4
wiq7zfv0z86hevww5k422dknou6tj2pk,Gianna Salvemini,Italy,Short Form,129515,25.16,Alex Kidd in Miracle World DX
3d3zb28mclice7w683o3fo22zj719vp4,Casey Johnson,United States,Short Form,17821,4.79,Slime Rancher
lx84wtfoo53po71q6se4sj8hrabzhwpu,Eliza Berendt,Poland,Short Form,644210,97.31,Those Who Remain
jx64meanor0estct8n21s0gdgvpxrg5j,Erin Neal,Australia,Long Form,17797,2.98,A Short Hike
15h6b80sn7erzg9theu9t1kcgqqcwclq,Paulina Lobato Borrego,Spain,LiveStreamer,12976,6.12,Fuga: Melodies of Steel
hqusi3oe9vu90zcqludkezh36xlbhwg5,Tadeusz Namysł,Poland,LiveStreamer,33491,9.52,JETT: The Far Shore
wmf8ywt9ocnqwpbedea4xpzwyhfuez5l,Megan Saunders,United States,LiveStreamer,42483,13.2,Defense Grid: The Awakening
731drwr2rva2ulzfqdm6rzq0h1c9ibc5,Kurt Nilsson,Sweden,Short Form,667065,95.45,Blaster Master Zero 3
hjjw1mt5uef2h8vmtkizw540mhnwivb4,Aaron Welch,United States,Blogger,224928,56.33,The Signifier: Director's Cut
t22c50b8y5dnwnguczh9ier7u8h0imjy,Watanabe Hiroshi,Japan,Long Form,316448,67.43,Arcadegeddon Early Access
9tufygdzdh0wc48lrehl6xqria5wg6we,William Little,United States,Short Form,68490,10.08,Edge Of Eternity
ra01j6f5uecz93jvmyfhyxmgnrd056fm,Philip Taylor,United Kingdom,LiveStreamer,28495,7.2,The Division 2 Standard Edition
hfmugh9vwidv8y8md0mx8u2f7bueyp5v,Urvi Tank,India,Long Form,22850,3.25,Alan Wake
zw2agrcbw72akafqmpzx561hcm3dvjcf,Paul Anderson,Australia,Short Form,163970,23.64,Worms Rumble
uaw89oa2xc02qnilehdc3pxuu53042dn,Aaron Begum,United Kingdom,LiveStreamer,141090,62.45,Post Scriptum Modding SDK
jh4l3kkpc269ljrhrxl4u6dajx335id6,Enrico Sousa,Brazil,LiveStreamer,129068,34.49,Rebel Cops
mr2dez81fbnh3iilx2nhg0qfnu5kuf8t,Kenneth Miller,United States,Blogger,2003,0.37,Foregone
senzna2rxdgzt26irf1rcepwsi7p4s7j,Maurice Baker,Australia,Long Form,4736470,729.8,UNO Standard Edition
prcr4295loo6n0snn7z7vfs3eqwq193b,Alexandra Bengtsson,Sweden,LiveStreamer,1972407,752.73,Synergia
90uqta9rr8lmfd9x9a8vw3kvesubr99p,Patrick Martinez,Australia,Short Form,225659,22.41,Far Cry 2: Standard Edition
sij1oeye048fhg7bz24wmrykfb4e0dso,David Holden,Australia,Blogger,34470,2.47,RemiLore: Lost Girl in the Lands of Lore
la0gnzs43c5ba75uuzpeal2w37d4ivso,Shannon Hernandez,United States,LiveStreamer,575347,297.2,Elite Dangerous
vf010aiaojdux3vbla91jy4xmalu6qgc,Frau Insa Schmidtke,Germany,Blogger,1872177,346.08,Blasphemous
t7ojbqplbne9ebhnqqa4p29xb4o6pjhn,Édith Bourdon,France,Long Form,7591,1.25,Sable
4chkeameqg36x2q2p4lz26efr6u2xkk5,Mrs Vanessa Holmes,United Kingdom,Long Form,87402,22.74,Doctor Who: The Lonely Assassins
pnzrc69t77wt8pun5dgsiri5dsym7d01,Watanabe Yuko,Japan,Long Form,39207,5.99,Time Loader
mjeqa2o4m84p4k9dxoq8jxlfiuefz1c2,Kylie Sparks,Australia,Blogger,49486,3.5,Tropico 6
ypjpxj7c5hcmix9vjo0u9tir1si95vfx,Marisa Petruzzi,Italy,Blogger,23537,4.49,Path of Exile
dbbf9nlm6595rfljm3ka9g90kvv6fj2x,Yamamoto Kenji,Japan,Long Form,44768,6.76,Mars 2030 Editor
yj1jmqxu0gli6ek5pxobzmrtsxmv77ts,Victor Padilla,United States,Short Form,17970,6.65,Universe Sandbox
k6hmrtiehc2yix79pbrtg6c2rra3plcg,Cynthia Martinez,United States,Short Form,166699,29.14,Jaws of Extinction
ww7opidlaxahhxkwb5o1r9z27ujdlwn7,Sara Ledesma Mora,Spain,Short Form,46463,8.47,Metro 2033 Redux
ngiacd0eqa84fdv17a5fh9i1i1ubgvtd,Julianna Naczk,Poland,Blogger,339098,37.05,Arise: A Simple Story
edfzeala9cmtxsn27c9tht7dtlzcjijt,Peter Willis,United Kingdom,Long Form,1153559,297.09,God's Trigger
a12vmridfnpab0xofk1w35807qfc2ptl,Asunción Robledo,Spain,Long Form,798724,137.83,The Vale: Shadow of the Crown
ndxjn7de0l1offkhdiu1jtka1c2zl46q,Sara Szóstak,Poland,Short Form,4603962,716.51,Heavy Rain
0lynh3g4ek7sbym88zsk3pkp6ual0zmh,João Guilherme Novais,Brazil,Blogger,930410,143.21,Ageless
rh8gwzvycuys4mmv1w4kzx6fu76zwxou,Kim Seo-yeon,South Korea,Short Form,299183,87.23,Override 2: Super Mech League
p1yvwqj8vv457gnvba43ijwef7r1blly,Herr Bernard Kabus,Germany,Short Form,28698,3.93,Quake
5rebxgkya3z5ncy31zr7kq9mgm5p39vh,Kieran Bell-Wright,United Kingdom,LiveStreamer,436523,214.08,Overcooked! 2
ny99xst9u7l9wzlqnhckwry2ohyogocy,Mrs Sharon Bailey,United Kingdom,Short Form,44350,6.14,Boomerang X
6pom373cjm7kw3spks337j5ze5lajcjg,Gilbert Courtois-Jacob,France,Short Form,200279,56.66,Shadowrun Returns
gcg1j6oww5fknjmvrydc1au9dsav917r,Spencer Haynes,United States,Long Form,6654425,1740.69,Dungeons 3
3yvjnmbe4joynbrw5pt5yera1bj6ol71,Joaquim da Conceição,Brazil,LiveStreamer,16004,2.6,The Fall Part 2: Unbound
024rv3nsxof6t6weggh02wpkqj39qzj9,Richard Lopez,France,LiveStreamer,44872,24.41,Farmer's Dynasty
zrwuo8nq189y42dj43dgamrh4fzzhyh9,Soledad Armengol Andrade,Spain,Blogger,156135,21.41,The Uncertain: Last Quiet Day
xp9ld5bqzfe2b81nmp9aimw1et4gvz0b,Kashvi Bhatt,India,Short Form,42484,10.18,MotoGP™21
wz0tb87ctflrsonesy8r88ul9aachtga,Gautami Sarna,India,Short Form,51121,7.86,Democracy 4
emlmbzrkzoeavnaqwb41pbnuxurpv7ly,Viola Jonsson,Sweden,LiveStreamer,154299,72.77,Dark Light
q50op7xmr8fhydrgfr27riu9mjyg4s3m,Elisabeth Cadefau-Rippey,Netherlands,Long Form,369506,80.36,Red Dead Redemption 2
vd1rlzs2rxrrt32akgstdb7xoyl0qkvx,Paul Warren,United States,Short Form,7686,1.13,Hue
3rmsmocwxfbt47zvph31yzklrcd56z0i,Mr Richard Howell,United Kingdom,Short Form,8351223,1268.89,R-Type Final 2
kn1rdmi08wojp2l7yqe94zeo67a24aud,Juan José Escribano Rico,Spain,Short Form,32151,3.42,Kingdom New Lands
brbh7r4uj84wolep2wlnb940aud1kwvb,Kalina Czubaszek,Poland,Blogger,2932716,308.53,Tacoma
bht94ozkfnotia41ss2bkawyb03no355,Bruce Collier,United States,Short Form,70062,9.32,The Fall
fh2i0v61f3h1d1ysk0a2lvgd1ep39j98,Mitchell Roberts,United States,Short Form,6882,1.33,Warface
630v6a1lcyifzntkkaituzdf1na6vj3j,Gisa Lachmann,Germany,Long Form,36615,10.91,The Alto Collection
2be4n2524gpzbomvibzyfggk82p5yro1,Lina Ferrera,Spain,Short Form,210766,33.74,Assassin’s Creed Valhalla + Watch Dogs: Legion Bundle
7dpjuvffkvzs8ufx2bd2fmoqxhglg4p0,Veronica Allen,United States,Blogger,11101,1.61,Marvel's Guardians of the Galaxy
tpapcjpuf7vxqodbj52lbray5m8zta66,Eva Lindblom,Sweden,Short Form,195123,33.05,Core
j5jgzcy4mljzfudi4sp7qfq9n04fdtzj,Luciano Cervantes Ávila,Spain,LiveStreamer,45263,17.94,Neurodeck
ann4ax5iqtatnbdplycuy1zgwj47t28q,Yamamoto Kenji,Japan,Short Form,6379,1.75,HITMAN - Game of the Year Edition
d9tkg1f8yc8gzkdf6j76biviss8jltcb,Alain de la Dupuis,France,Long Form,914317,212.09,A Juggler's Tale
tqhivep14qks4tx4urjh2oqv8cgpa0kg,Łukasz Madejczyk,Poland,Short Form,112275,8.6,Krita
f2gj81fkowt75fi7kppwa0vzkkic10e0,Jeffrey Rogers,United Kingdom,Short Form,1805,0.48,7 Billion Humans
l3bx7kigfvm3kfzkhvg9sxda0btuxz0b,Nicolas-Raymond Chevalier,France,Short Form,191715,18.53,Darksiders III
avm96n7kbnkfvdhlz02z7nuxf1x889u9,Haydée Ballester Expósito,Spain,Short Form,910944,139.4,Gorogoa
jr7hhim0f8u88yn45jdl8g4q9lkca6cu,Donna White,United States,Short Form,26220,3.95,Far Cry 3: Blood Dragon
zan9ekopjuaeembhy3m09u1z4cj4csys,Frau Heike Ruppert,Germany,Short Form,44407,7.62,Viscerafest
ahra0wa6rwut8vomtlkcj4w5pv95ucfh,Clifford Newman,United Kingdom,LiveStreamer,47013,9.13,Boomerang X
v06zzkuvwhkxb72dp3e6nzxza7uvicx1,Aaliyah van der Kint,Netherlands,Short Form,347372,40.73,The Walking Dead: Michonne - A Telltale Miniseries
m41qeslayndn5gjj8mgpp1noqu9y3z2t,Nazario de Otero,Spain,Blogger,649386,39.61,Dead by Daylight
epgkpxbm6gr9steioiujvbet0jk5pulw,Patricia Maillet,France,Long Form,152174,44.31,Yoku's Island Express
xfq8y7fhwjwxzuxsf3l2n8ijtyold62f,David Griffith,United States,Long Form,15795,5.84,Sonic Mania
ydro6xt8oit6ya0o1xqovgpp3suyqo89,Brianna Williams,Australia,Long Form,590646,142.51,Tunche
vglivho8kto9qesos0zxkqkp90ne6yiw,Jonathan Martinez,United States,Blogger,357317,37.84,Assassin's Creed® I: Director's Cut
8k5hznlxssfnl8kyvej11pjyiertheak,Isaiah Madan,India,LiveStreamer,29914,5.03,Good Company
qmy8sr6uq4a52yqnnz1i3xeqkihx9t0b,Hilda Kühnert,Germany,Blogger,72238,10.15,The Last Friend
k5bov3036b3yqmpuyw6mxrf9cfwawq4x,Christa-Maria Etzold-Heuser,Germany,Short Form,163005,30.25,Child of Light: Ultimate Edition
ugywxzqxqy5rod22k9l7zzkny85yvy0m,Eric Thompson,Australia,LiveStreamer,32573,9.33,Expeditions: Viking
q9enz9jn7k98xvi673kllzcuh1i8yaty,Anna Maria Deluga,Poland,Long Form,8994,2.31,The Stanley Parable
capfi5zrplwdxmghkr7ss37uogsk2v7y,Guenther Conradi,Germany,Long Form,23832,7.01,Cyberpunk 2077
fhepn3vwtkcnl384xg08gsg8ueno88uo,Miguel Silva,Brazil,Short Form,448332,80.45,Ruined King: A League of Legends Story™
wlqzaox0sr20ok1bu1esisztfw1qq6ug,Takahashi Kaori,Japan,Short Form,149939,40.91,Opera GX - The First Browser for Gamers
r9rz056mw7b42ldkftscz7z5rx7rww40,Philippe Cousin,France,LiveStreamer,14024,4.92,Outer Wilds
8ruw2xh6qihpnf4jd1ksibsmqpnrjapj,Suzuki Yuko,Japan,Long Form,336423,54.1,The Hand of Merlin
oz4x88ho5deibhdfa57w6r7mpiy4d6cy,Emperatriz Hortensia Mulet Cámara,Spain,Long Form,114379,18.05,Port Royale 4
18a2vzpy9qzo7io2f2natd4gwlf9yxam,Ellen Morgan,United States,Blogger,167253,11.74,Neurodeck
6fzgl94oiqa3ta6kcnoxypcz8td1dy1t,Ola Karlsson,Sweden,Blogger,385084,81.62,Monkey Barrels
z1wdkjqg6yzjj5kjop2ekormsue8269s,Beatrice Schomber,Germany,Short Form,184862,48.97,Starsand
c3b2moc37tl64puzacx5457qfhteeg6m,Gionata Maderna-Gianetti,Italy,Short Form,8350881,1308.31,SpellForce 3 Reforced
eg7ash4j9tsjgwok7xohavkqaubcniwg,Sato Yuko,Japan,LiveStreamer,675202,240.22,Ghostbusters: The Video Game Remastered
84ez1d5e5a65rx5905ha7vtd7n1k7rti,Margret Reinhardt,Germany,Blogger,655322,185.62,INDUSTRIA
radskzyhbha9aiqvij7s5tfu4cgyjs1l,Dr Geoffrey Marsden,United Kingdom,LiveStreamer,3166412,1081.94,JETT: The Far Shore
gegg4jys2z3cyi0pla6d2kg1t4f9byi4,Jean Collet,France,LiveStreamer,25107,10.86,Tom Clancy's The Division
9vhqcnjbps0qcu16dkpmvno9i1s6xh7a,Brianna Ford,United States,Short Form,1543120,445.45,Trackmania
dkqu983z2h5mpq79xtmpga9w425ovdz1,Carlos Johnston,United States,Long Form,124466,42.1,Moving Out
waem3n7f1a691x36oetrta2egr9f9kfg,Brandy James,United States,Long Form,7788211,1996.3,Ruined King: A League of Legends Story™
9y3dzzsv04elfxj98mjndyvox6py3odu,Costantino Andreozzi,Italy,LiveStreamer,1696,0.27,Blair Witch
nflocrgssikn7uzoalorlxp7o350rue9,June Smith,United Kingdom,Long Form,41171,6.79,The Fabled Woods
z8jrxivzd44qxu34r3rkh7kx0m1shbcc,Vasatika Dugal,India,Short Form,966588,73.42,Truck Driver
7v4k88k686qe7ajul7w8cof3138i2xog,Julie Roberts,United States,Long Form,141858,18.94,Gods Will Fall
5qrmxb1ytj1haih553d9sz8v2e3yfkqx,Han Seo-yeon,South Korea,Long Form,62155,11.72,Secret Government
k4wf33kd2w3t82l4h3ij9oirxeqz1ra0,Adam Ward,United States,Short Form,38729,10.55,Operencia: The Stolen Sun
wfg3mwu4cfilkjxjq5nv8oga0x7zcgdc,Dr. Zoran Gierschner MBA.,Germany,Long Form,174043,26.72,League of Legends
l2e9eu0g8lwdkhrpoh6v5m1uwrqdrwf5,Gabriel Shan,India,Short Form,85428,6.32,UNREAL TOURNAMENT EDITOR
4qeqi27xe46bljwhb2js1j1vccwhlxkg,Giulio Paruta-Dalla,Italy,Short Form,947875,191.83,Planescape: Torment: Enhanced Edition
bjtxpju3nbletl8o7sfpkzrqbzokzopn,Suzuki Kenji,Japan,LiveStreamer,160501,41.25,Farming Simulator 19
n3lq0s52qn3pvim2qzzjz4xemd59u3sc,Amelie Wagenknecht,Germany,Blogger,15949,1.75,Assassin's Creed Syndicate Standard Edition
z037wdlcj37d6rcrvsbamfefo1rs3lfp,Chloe Nicholson,United Kingdom,Short Form,41932,4.15,Dauntless
qy5o62rv9sas511d5tqyvfgeq9ss5cfk,Melanie Allen,United States,Short Form,41006,11.48,Destroy All Humans!
lmuitsultagawpohzrxywueyrehkx6fy,Guy Lecoq,France,Short Form,551512,78.78,Transistor
2dl8j3dr0ygmw9nbm7eul7yvv4i8j6ng,Sean Cisneros,United States,LiveStreamer,215478,87.81,Never Alone (Kisima Ingitchuna)
aeryted6c040x2crgmns7jv6kdlrcf0p,Diana Hörle,Germany,Short Form,45837,10.93,Superbrothers: Sword & Sworcery EP
zztrlx6rtyg9uhs0b3cap2e0r4ha3fue,Ruth Bennett-Hall,United Kingdom,Long Form,6638,1.77,Aquanox Deep Descent
fk6f2qwcyneu9dka02no4sspj018uiff,Tyler Martinez,United States,Long Form,3470,1.11,Might & Magic Heroes 3
zfqkidcase5sedgpgt33rxdt59odofpi,Sato Kenji,Japan,Long Form,953320,361.59,Everything
almx5b1ha3nt0yt2idvhsrt6jc1f52rb,Erik Lund,Sweden,Short Form,88746,13.99,Trials Fusion: Standard Edition
l60d97ibfaqnc4429w1yyitbljitxyep,Kelly Johnson,United States,LiveStreamer,5611,0.87,Battalion 1944 Development Toolkit
mgxiuut29y3j0ncoav7y76jqdzk5a0ij,Joaquim Gonçalves,Brazil,Blogger,4116921,440.57,RiME
g8y4zyy4pwf0dbcixu1hotm9l4tu160g,Jesse Smith,United States,Short Form,5852,0.95,Ageless
bji9po6fho0v0o3pcsh9lddape6f52m5,Rachael Jenkins,United Kingdom,Long Form,190298,32.32,Disciples: Liberation
m083e0j44zlhy2b035vtgnonqa0j5pgn,Leslie Martinez,United States,Short Form,7309764,1448.84,Scott Pilgrim vs. The World: The Game – Complete Edition
9aahmddomnzpmvqr3vs75ia8ofbur6gb,Ana Cecília Silva,Brazil,Short Form,547082,39.9,Warhammer Age of Sigmar: Storm Ground
tmfz2292a5gwmi5wyviu8xlck8o8selp,Jade Wilkins,United Kingdom,Short Form,100728,15.75,Teamfight Tactics
ipiqeag3wexfofx22ktie4ja8jznl7kk,Reece Williams-Martin,United Kingdom,Long Form,236162,25.69,Ghost Recon Breakpoint Standard Edition
t3wokbleq5hr1h956xe3999x2fuad5dn,Suzuki Yuki,Japan,Short Form,115236,25.64,Pathway
8tnd7oosp541a83t3owhrk5w6402egty,Melody Baker,Australia,Short Form,11840,3.16,Rogue State Revolution
198l8b04935yi2zx0dvkqszis0wggwgd,Giovanna Fritsch,Germany,Short Form,24303,4.34,Beyond Blue
o82h3rxnddztpjh761d81mgqyojp5p4n,Timothy Martinez,United States,LiveStreamer,5197392,1343.66,The Plane Effect
4daund14bkbfc142ae21761j0345zyrd,Maurits van den Hoek-Kramer,Netherlands,LiveStreamer,3499,0.8,Watch Dogs 2 Standard Edition
murz6rbi8uhff53ak3ecxyigo11o4zxn,Lee Soo-jin,South Korea,LiveStreamer,709034,191.98,Insurgency: Sandstorm
578f2y21ntepqokeqzlqubwlnf1aihzw,Astrid Pottier,France,Long Form,2308,0.53,Hammerting
6mefvqcoccdt7hksfh3oh8duj4wh6kr3,Lauren Trujillo,United States,LiveStreamer,26016,9.77,Slime Rancher
mrrkal94pef10ljrnicd0sqpzygwezuv,Brinda Mann,India,Short Form,35350,7.43,MotoGP™21
pmhg07la7dxpw1tba1v08xm4m0qq21zy,Mary Welch,United States,Short Form,3026613,661.95,Shadow Complex Remastered
mxtmv9gyxza6xmygbgrtud5aby55o2gk,Charita Viswanathan,India,Short Form,795982,122.47,Obduction
c9zd76szn9dde3cup8ijl2z0ljch2vff,Carmen Smith,Australia,Long Form,172174,36.61,Stick It To The Man!
eqqy35yt91gtufem2jylclazund5pn6j,Rachel Mann,United States,Short Form,832202,179.9,Days of War Map Editor
0mj3qihj4elss84x06f645ha8g7jougs,Scott Wilson,United States,Short Form,9256928,1740.82,Automachef
sg4c0g85w3rc4k61v0qi54tuoytzw6f1,Edhitha Mohan,India,Blogger,109560,7.99,Elite Dangerous
hdxtlvoj41835j0tl8us1x940e20ikdc,Ana Cecília Duarte,Brazil,Short Form,849650,57.04,Merchant of the Skies
nni31vmgrn69g0deb0iwxmvyekp4l9mb,Alex Bird,United Kingdom,LiveStreamer,34719,14.71,The Legend of Tianding
k37oxath9a8598aksx550ht5ipj0vl15,Alexandre Legendre,France,Long Form,922434,235.66,The Messenger
eszgwlyqddwsrmh6r8ofrjmthb0fcqx8,Sandra Schüler B.A.,Germany,Short Form,43033,6.13,The First Tree
o9bo3phj071v7w7q3d5pbrxa0d8takc4,Valerie Williams,United Kingdom,LiveStreamer,6478,2.67,Mothergunship
bjh1klccymt4pl3gfgzcnj61smpxzbqp,Nakamura Hiroshi,Japan,Short Form,11306,1.24,MudRunner
qnfdltpqbga2t8rjoxkz7ckxom82lbgs,Harry Webb-Lewis,United Kingdom,LiveStreamer,5061320,1868.82,Paper Beast
gyg4f4desrwqb6twnvjqjinh1k504k34,Arthur Davison,United Kingdom,Blogger,374868,43.81,Carnival Games
9yqf2athfugukabaa2cqvacz41q7mb7r,James Tapia,United States,LiveStreamer,210035,94.61,JETT: The Far Shore
zrdclf71bm3mmto0dy8w0si9zv0wf4hg,Beth Clark,United Kingdom,LiveStreamer,26349,9.13,Idle Champions of the Forgotten Realms
g6vr2b6zxygave1cnrsvg4hdidjbz3gj,Adrian Taylor,United Kingdom,Short Form,319726,63.72,Knockout City™
j9r518ml948u3lq28qaqx9v3ed46kiho,Mrs. Amy Hayes,Australia,Long Form,560366,95.23,The Tenants
g75vs62pn4i0yz7yshhkovlhgnxue502,Juan Francisco Sáez Agustín,Spain,Short Form,993663,234.06,Animation Throwdown: The Quest for Cards
3pagbpgnioc6dr1r3taqfw4hfnf8t9ml,Alicia van Kusen,Netherlands,Long Form,245832,47.02,Layers of Fear: Masterpiece Edition
4ys5rz0kbc69pscoggzhiea2efxf1ktk,pan Jerzy Jachimczyk,Poland,LiveStreamer,153023,41.54,The Architect: Paris
z3mez7isrgr9953c89l5y4rgpmc51bfx,Mark Pitts,United States,LiveStreamer,13412,3.09,Axiom Verge 2
1yto45kz6tffcxwsqzl1qliz08zvbe5o,Diane Dodd-Abbott,United Kingdom,Short Form,987040,98.08,The Division 2 Standard Edition
dso9spdu3nm0sxfc5z5l9hgmtvppfnni,Gustav Danielsson,Sweden,Short Form,509486,64.21,Banners of Ruin
ih4ydrubq7yx50vj099hrlfvwhwganr5,Tammy Clements,Australia,LiveStreamer,3234,0.79,Genesis Noir
0uekyimi824629dh7b2h5b0rh6lt6wbw,Juan da Cruz,Brazil,Blogger,728089,41.13,Wargame: Red Dragon
ppxqxb3tt23mcgvtzthzdspiknyx2a5a,Tanay Bath,India,Long Form,139540,11.94,Kingdom Come: Deliverance
795uaeu4ssvvmyzkvfk4x1kj49yqmija,Krystal Levine,United States,Short Form,118913,19.04,Black Widow: Recharged
dh5bp8799fdebpi0qin8skifzk8jepbv,Elizabeth Morales,United States,LiveStreamer,780387,272.36,Oxygen Not Included
727gmcd2k3xik6nratsh9g396eg2teki,Takahashi Kaori,Japan,LiveStreamer,156417,25.78,Night in the Woods
orgc4atmx5mvnfkmnau245mrtovzhh6c,Stanisław Behrendt,Poland,Short Form,114459,14.71,Rogue State Revolution
6ly83mmgqgkq87b1zss08ua6oypqpgef,Advik Ramachandran,India,Blogger,43700,4.0,Desperados III
